997,955,968,1458
983,1535,1146,1955
1212,2044,1681,2008
1750,1942,1865,1687
1969,1282,1883,861
1829,800,1480,547
1294,570,1050,807
1314,1538,1027,1526
1550,1544,1845,1547
1071,1376,1301,1358
1070,1424,1286,1411
1287,1050,1408,990
1420,1000,1601,1065
1244,956,1693,932
1246,894,1394,875
1457,857,1642,904
1629,1422,1819,1434
1621,1346,1813,1374
